Tag,Commit Hash
storage-release-2.8.1-rc2,02017b04737de040b56ab40dacd120325ca6cc6f
storage-release-2.8.1-rc1,a4b0e88199d5c66023ddcdc251d1fe9c517bee3f
storage-release-2.8.1-rc0,ab76b0c4bd6491d2a78b8a2ce7e1c541b42d0953
storage-release-2.8.0-rc0,08c0b2a45f4044da411bec5772905f2fdb8014a5
storage-release-2.7.3-rc2,640a366be25e3fe8e33eb7324b44e6b6ee2db645
storage-release-2.7.3-rc1,f61ad98096833caac1bf3626a2c40fc35ecb1a56
storage-release-2.7.3-rc0,81dbd06b8f864cd8a039d62f6a2abe33f86430ac
storage-release-2.7.2-rc1,1763c0450ca073b8ee66539d668cf73701d0645b
storage-release-2.7.2-rc0,25ef7f925840975865f301c59b6938a31d8d46fb
storage-release-2.7.0-rc1,e59fdf9861d20747f1e69623a73782979258d61d
storage-release-2.7.0-rc0,13802a2cbdfbd22532cb80ae00cb42303f036dea
release-3.1.3-rc3,4df4d75bf1e16fe0af75aad0b4179c34c07fc975
release-3.1.3-rc2,4df4d75bf1e16fe0af75aad0b4179c34c07fc975
release-3.1.3-rc1,cc050e40eb55f6c9f1aa08c00c1689f657747afb
release-3.1.3-rc0,b91aec6729f4ed3f9d1f56ae7ae122c72249b22b
release-3.1.2-rc0,27c90b797f1291e8cbbba25544bec9f11d05223a
release-2.3.10-rc1,5160d3af392248255f68e41e1e0557eae4d95273
release-2.3.10-rc0,35ef022fab5f0317793aa024bfe669a5c50269b1
release-2.3.9-rc0,92dd0159f440ca7863be3232f3a683a510a62b9d
release-2.3.8-rc3,f1e87137034e4ecbe39a859d4ef44319800016d7
release-2.3.8-rc2,8c1dd3686581aa42e80d83710ca10e19ec64d935
release-2.3.8-rc1,f47f85a982cda776eb106bd61b6929735ecc6995
release-2.3.8-rc0,952dd9426ceecb0f50f3cf95cb4d43074b01594b
release-2.3.5-rc0,76595628ae13b95162e77bba365fe4d2c60b3f29
release-2.0.1,134e5a9ab20a02a444bcf610748c4ae3b8c85796
release-2.0.0,9f4c22c0a9200c9f4cae92331c97debb046b8221
release-1.2.1,0f6ee99efc911cbc1566f9bbbc63a51600302703
release-1.2.0,7f237de447bcd726bb3d0ba332cbb733f39fc02f
release-1.1.1,b1bb6cd90cf33c0fae070e35ca2b85dbaeba4e79
release-1.1.0,e60744d017ef79f1b17f474c0b969d4ca5592462
release-1.0.1,28dda406f9742d39388f14fe1dc40de22320c75d
release-1.0.0,697aecadc3ba62bc11f3ba0a6c8522daeec7b53f
release-0.14.0,70eea944afaf5f64b8939b2b3a0d8fdd33a41c18
release-0.13.1,89bb2e8c34386b43efa37ecc6918a50c4bfb005f
release-0.13.0,d0fe5f1b3ac361f747b12f9137322367da73652f
release-0.12.0,b77a6caafbba087bea617e87b566b5b55ff102f6
release-0.11.0,383fce63cb591359d27883be670d4155752cb181
release-0.10.0,7dde7825d80165e24497c6ae560407d4c0c42e2c
release-0.9.0,51807a7aa6ba31644cdfd046e5d81e969e111fad
release-0.8.1,9183f3472fb102eced7337f078f545a82dfaedee
release-0.8.0,d0d694303d3fb7375aa176e982ae945ac0be9f7e
release-0.7.1,a30e0962fe886e3cb8c9593f756cd3a1d44de3d5
release-0.7.0,5704958936ec8cef38744d46f52f6b4342a5bdcb
release-0.6.0,2f01e0500ce571b197f998a5c0de46e56e066a36
release-0.5.0,3ffc9bd7a41f577dfb0b0b068c26bfa4effade16
release-0.4.1,ae049d52364ccbb09215952b801edf95259ca6b7
release-0.4.0,7737f2fc1a66044221b402784dab534c684fb10c
release-0.3.0,6aa1b4843ead1306553d6943f25a62363075ef72
rel/storage-release-2.8.1,02017b04737de040b56ab40dacd120325ca6cc6f
rel/storage-release-2.7.3,640a366be25e3fe8e33eb7324b44e6b6ee2db645
rel/storage-release-2.7.2,1763c0450ca073b8ee66539d668cf73701d0645b
rel/storage-release-2.7.1,80fe235690cd88ff939555a0a4aefe918b0662b5
rel/storage-release-2.7.0,e59fdf9861d20747f1e69623a73782979258d61d
rel/storage-release-2.6.1,489f6a20a5eedc1836854fd40255eb78aa967d99
rel/storage-release-2.6.0,657dfefd5c56bbb781ff69e7c40747da3df31786
rel/storage-release-2.5.0,4e018faab5b2dc0a16e6641309b7a3e8cc3b8b8e
rel/storage-release-2.4.0,e37c41cc6ce819b935d9c301af97b933b564510b
rel/storage-release-2.3.1,080d39c97296c7f903896ee79de7d824feafd2a9
rel/storage-release-2.3.0,30e6745a63b81be2ed58f4dce13e1d83f518f632
rel/storage-release-2.2.1,131c949d93f8d449b4c37638859eb21eb7c5397a
rel/storage-release-2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d
rel/standalone-metastore-release-3.0.0,ce61711a5fa54ab34fc74d86d521ecaeea6b072a
rel/release-4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
rel/release-4.0.0,92628580e05c0f9f652047c034218b5b11b73a29
rel/release-4.0.0-beta-1,d2310944e412b577a39687c7968b2e93eede8433
rel/release-4.0.0-alpha-2,f3f47bd78f70dea9a67d3e61c3f88eebad0495fd
rel/release-4.0.0-alpha-1,68e6d3e10b823ec36231ec8cfcb78d2ce9b24467
rel/release-3.1.3,04c1b307d1bbd1ae268ad47dc36ca4f50c6d9cd8
rel/release-3.1.2,b4d3d7bbe4088eb64641b3d601797c0c745e8edc
rel/release-3.1.1,517f42fc6626582f32c0971f140b8fa91501ebe2
rel/release-3.1.0,bcc7df95824831a8d2f1524e4048dfc23ab98c19
rel/release-3.0.0,ce61711a5fa54ab34fc74d86d521ecaeea6b072a
rel/release-2.3.10,1ea529c533191cbf42ca19770605fc6b9c0e10e6
rel/release-2.3.9,34a7708e5ac5e53c1160bc00d50159480e16c6c0
rel/release-2.3.8,f1e87137034e4ecbe39a859d4ef44319800016d7
rel/release-2.3.7,fb09a6a7e7548b2a5cd4df77fd69c18b54434181
rel/release-2.3.6,d2c1eaed06c54e19e5060d4435b3e6c3e99e8b6e
rel/release-2.3.5,7b4b88d00d8ee176e1fad19a357d4a23a34222a4
rel/release-2.3.4,80cb6f19c12e8f12bfc82deaf899d5dac4dd5600
rel/release-2.3.3,3e62dc9566d288649279b543fbb7de8cb6e5fd67
rel/release-2.3.2,a0988d39afd9a065f124a020b6576de2066bc557
rel/release-2.3.1,694477b9a270c7e27a96a3b9a51bc72f115668d0
rel/release-2.3.0,ac7a42c1335bb946d1939e27de002679001f64c9
rel/release-2.2.0,da840b0f8fa99cab9f004810cd22abc207493cae
rel/release-2.1.1,8af8de0dd211c9f716c92360fe127a8a1ef7c703
rel/release-2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29
rel/release-1.2.2,f0c594d9057c12413de188bc59d13747feb36c1c
master_2015_11_30,0a96201f268a8cf0efe71d960f8814592d30d756
branch-3.1.3-rc0,33ea6b6beb0aa50c711941d16995cfcb7d801c83
branch-3.1.2-rc0,4dd93e2514c971553b3f735cd4a79c26c63c629b
